16
16
W W W 1 1 E E E E 1 W W W W W W 
E E 1 @ 1 E E E E 1 @ W @ W W W 
2 2 2 W 1 E E E E 1 W W W W W @ 
@ @ W W 1 1 1 E 1 1 W W W W W W 
@ W W W W @ 3 1 1 @ W W W W W W 
W @ W W W @ @ W W W W W W W W W 
W W W W @ @ W W W @ W @ W W W W 
W W W W 2 W W W W W W W W W W W 
W W @ W W W @ W W W @ W W W W @ 
W W W W W W W W W W W W @ W W W 
W W W W W W W W W @ 4 W W @ @ W 
@ W @ W W @ W W W @ @ @ W W W W 
W W W @ W W W W W W W W @ W W W 
W W @ @ W W W W W W W W W W W W 
W W W W @ @ W @ W @ W W W W W W 
W W @ W W W W W W W W W W W W @ 
